GEMEENTE,PROVINCIE
Appingedam,Groningen
Bedum,Groningen
Bellingwedde,Groningen
Ten Boer,Groningen
Delfzijl,Groningen
Eemsmond,Groningen
Groningen,Groningen
Grootegast,Groningen
Haren,Groningen
Hoogezand-Sappemeer,Groningen
Leek,Groningen
Loppersum,Groningen
De Marne,Groningen
Marum,Groningen
Menterwolde,Groningen
Oldambt,Groningen
Pekela,Groningen
Slochteren,Groningen
Stadskanaal,Groningen
Veendam,Groningen
Vlagtwedde,Groningen
Winsum,Groningen
Zuidhorn,Groningen
Achtkarspelen,Friesland
Ameland,Friesland
het Bildt,Friesland
Boarnsterhim,Friesland
Dantumadiel,Friesland
Dongeradeel,Friesland
Ferwerderadiel,Friesland
Franekeradeel,Friesland
Gaasterlân-Sleat,Friesland
Harlingen,Friesland
Heerenveen,Friesland
Kollumerland en Nieuwkruisland,Friesland
Leeuwarden,Friesland
Leeuwarderadeel,Friesland
Lemsterland,Friesland
Littenseradiel,Friesland
Menameradiel,Friesland
Ooststellingwerf,Friesland
Opsterland,Friesland
Schiermonnikoog,Friesland
Skarsterlân,Friesland
Smallingerland,Friesland
Súdwest-Fryslân,Friesland
Terschelling,Friesland
Tytsjerksteradiel,Friesland
Vlieland,Friesland
Weststellingwerf,Friesland
Aa en Hunze,Drenthe
Assen,Drenthe
Borger-Odoorn,Drenthe
Coevorden,Drenthe
Emmen,Drenthe
Hoogeveen,Drenthe
Meppel,Drenthe
Midden-Drenthe,Drenthe
Noordenveld,Drenthe
Tynaarlo,Drenthe
Westerveld,Drenthe
De Wolden,Drenthe
Almelo,Overijssel
Borne,Overijssel
Dalfsen,Overijssel
Deventer,Overijssel
Dinkelland,Overijssel
Enschede,Overijssel
Haaksbergen,Overijssel
Hardenberg,Overijssel
Hellendoorn,Overijssel
Hengelo,Overijssel
Hof van Twente,Overijssel
Kampen,Overijssel
Losser,Overijssel
Oldenzaal,Overijssel
Olst-Wijhe,Overijssel
Ommen,Overijssel
Raalte,Overijssel
Rijssen-Holten,Overijssel
Staphorst,Overijssel
Steenwijkerland,Overijssel
Tubbergen,Overijssel
Twenterand,Overijssel
Wierden,Overijssel
Zwartewaterland,Overijssel
Zwolle,Overijssel
Almere,Flevoland
Dronten,Flevoland
Lelystad,Flevoland
Noordoostpolder,Flevoland
Urk,Flevoland
Zeewolde,Flevoland
Aalten,Gelderland
Apeldoorn,Gelderland
Arnhem,Gelderland
Barneveld,Gelderland
Berkelland,Gelderland
Beuningen,Gelderland
Bronckhorst,Gelderland
Brummen,Gelderland
Buren,Gelderland
Culemborg,Gelderland
Doesburg,Gelderland
Doetinchem,Gelderland
Druten,Gelderland
Duiven,Gelderland
Ede,Gelderland
Elburg,Gelderland
Epe,Gelderland
Ermelo,Gelderland
Geldermalsen,Gelderland
Groesbeek,Gelderland
Harderwijk,Gelderland
Hattem,Gelderland
Heerde,Gelderland
Heumen,Gelderland
Lingewaal,Gelderland
Lingewaard,Gelderland
Lochem,Gelderland
Maasdriel,Gelderland
Millingen aan de Rijn,Gelderland
Montferland,Gelderland
Neder-Betuwe,Gelderland
Neerijnen,Gelderland
Nijkerk,Gelderland
Nijmegen,Gelderland
Nunspeet,Gelderland
Oldebroek,Gelderland
Oost Gelre,Gelderland
Oude IJsselstreek,Gelderland
Overbetuwe,Gelderland
Putten,Gelderland
Renkum,Gelderland
Rheden,Gelderland
Rijnwaarden,Gelderland
Rozendaal,Gelderland
Scherpenzeel,Gelderland
Tiel,Gelderland
Ubbergen,Gelderland
Voorst,Gelderland
Wageningen,Gelderland
West Maas en Waal,Gelderland
Westervoort,Gelderland
Wijchen,Gelderland
Winterswijk,Gelderland
Zaltbommel,Gelderland
Zevenaar,Gelderland
Zutphen,Gelderland
Amersfoort,Utrecht
Baarn,Utrecht
De Bilt,Utrecht
Bunnik,Utrecht
Bunschoten,Utrecht
Eemnes,Utrecht
Houten,Utrecht
IJsselstein,Utrecht
Leusden,Utrecht
Lopik,Utrecht
Montfoort,Utrecht
Nieuwegein,Utrecht
Oudewater,Utrecht
Renswoude,Utrecht
Rhenen,Utrecht
De Ronde Venen,Utrecht
Soest,Utrecht
Stichtse Vecht,Utrecht
Utrecht,Utrecht
Utrechtse Heuvelrug,Utrecht
Veenendaal,Utrecht
Vianen,Utrecht
Wijk bij Duurstede,Utrecht
Woerden,Utrecht
Woudenberg,Utrecht
Zeist,Utrecht
Aalsmeer,Noord-Holland
Alkmaar,Noord-Holland
Amstelveen,Noord-Holland
Amsterdam,Noord-Holland
Beemster,Noord-Holland
Bergen (NH.),Noord-Holland
Beverwijk,Noord-Holland
Blaricum,Noord-Holland
Bloemendaal,Noord-Holland
Bussum,Noord-Holland
Castricum,Noord-Holland
Diemen,Noord-Holland
Drechterland,Noord-Holland
Edam-Volendam,Noord-Holland
Enkhuizen,Noord-Holland
Graft-De Rijp,Noord-Holland
Haarlem,Noord-Holland
Haarlemmerliede en Spaarnwoude,Noord-Holland
Haarlemmermeer,Noord-Holland
Heemskerk,Noord-Holland
Heemstede,Noord-Holland
Heerhugowaard,Noord-Holland
Heiloo,Noord-Holland
Den Helder,Noord-Holland
Hilversum,Noord-Holland
Hollands Kroon,Noord-Holland
Hoorn,Noord-Holland
Huizen,Noord-Holland
Koggenland,Noord-Holland
Landsmeer,Noord-Holland
Langedijk,Noord-Holland
Laren,Noord-Holland
Medemblik,Noord-Holland
Muiden,Noord-Holland
Naarden,Noord-Holland
Oostzaan,Noord-Holland
Opmeer,Noord-Holland
Ouder-Amstel,Noord-Holland
Purmerend,Noord-Holland
Schagen,Noord-Holland
Schermer,Noord-Holland
Stede Broec,Noord-Holland
Texel,Noord-Holland
Uitgeest,Noord-Holland
Uithoorn,Noord-Holland
Velsen,Noord-Holland
Waterland,Noord-Holland
Weesp,Noord-Holland
Wijdemeren,Noord-Holland
Wormerland,Noord-Holland
Zaanstad,Noord-Holland
Zandvoort,Noord-Holland
Zeevang,Noord-Holland
Alblasserdam,Zuid-Holland
Albrandswaard,Zuid-Holland
Alphen aan den Rijn,Zuid-Holland
Barendrecht,Zuid-Holland
Bergambacht,Zuid-Holland
Bernisse,Zuid-Holland
Binnenmaas,Zuid-Holland
Bodegraven-Reeuwijk,Zuid-Holland
Boskoop,Zuid-Holland
Brielle,Zuid-Holland
Capelle aan den IJssel,Zuid-Holland
Cromstrijen,Zuid-Holland
Delft,Zuid-Holland
Dordrecht,Zuid-Holland
Giessenlanden,Zuid-Holland
Goeree-Overflakkee,Zuid-Holland
Gorinchem,Zuid-Holland
Gouda,Zuid-Holland
's-Gravenhage,Zuid-Holland
